"";"mean";"se";"bias";"cp"
"1";0,420478261049716;0,06022962578969;-0,159043477900568;1
"2";0,596834541026722;0,0782301014879757;0,193669082053443;1
"3";0,550641594933206;0,0738606033779129;0,101283189866413;1
"4";0,516347689162497;0,0694029881788022;0,0326953783249948;1
"5";0,580182937055313;0,0774017640089172;0,160365874110627;1
"6";0,37391409117682;0,0520083160782719;-0,252171817646359;0
"7";0,532019491378354;0,0714658884996625;0,0640389827567085;1
"8";0,395565172461512;0,0555952560911057;-0,208869655076976;1
"9";0,509029826668141;0,069751129127995;0,0180596533362816;1
"10";0,590907961956641;0,0767206774979155;0,181815923913283;1
